"Red","NombreOriginal","Shape","Material","Diametro_mm","NodoInicialRaw","NodoFinalRaw","AliasInicial","AliasFinal","TramoBC3","US_Invert_m","DS_Invert_m","LongitudCentro_m","LongitudUtil_m","Pendiente_pct","CodigoBC3","CapituloBC3","Impacta"
"PLUVIALES","PP25-PP26","Circular","...","630","PP25","PP26","PP25","PP26","PP25-PP26","2.09","2.03","40","39","0.13","UAC010.3.6","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP26-PP27","Circular","...","800","PP26","PP27","PP26","PP27","PP26-PP27","2.03","1.98","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP27-PP28","Circular","...","800","PP27","PP28","PP27","PP28","PP27-PP28","1.98","1.93","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP28-PP29","Circular","...","800","PP28","PP29","PP28","PP29","PP28-PP29","1.93","1.88","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP29-PP30","Circular","...","800","PP29","PP30","PP29","PP30","PP29-PP30","1.88","1.82","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP30-PP31","Circular","...","800","PP30","PP31","PP30","PP31","PP30-PP31","1.82","1.77","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP31-PP32","Circular","...","800","PP31","PP32","PP31","PP32","PP31-PP32","1.77","1.72","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP32-PP33","Circular","...","800","PP32","PP33","PP32","PP33","PP32-PP33","1.72","1.66","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP33-PP34","Circular","...","800","PP33","PP34","PP33","PP34","PP33-PP34","1.66","1.61","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP34-PP35","Circular","...","800","PP34","PP35","PP34","PP35","PP34-PP35","1.61","1.56","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP35-PP36","Circular","...","800","PP35","PP36","PP35","PP36","PP35-PP36","1.56","1.51","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
