"Red","CodigoBase","AliasBC3","TipoInterpretado","CodigoBC3_Referencia","DuplicadosMismoCodigo","NombreRepresentativo","TipoOrigen","Tamano","CotaTapa_m","CotaSumidero_m","ProfundidadGeom_m","ProfundidadReportada_m","Observacion"
"PLUVIALES","IM35","IM29","Imbornal / estructura auxiliar","U044879794E3","1","IM35","Rectangular","L:0.70 W:0.30","3.66","2.48","1.18","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM36","IM30","Imbornal / estructura auxiliar","U044879794E3","1","IM36","Rectangular","L:0.70 W:0.30","3.66","3.18","0.48","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP34","PP34","Pozo pluvial","UAP0.2-TIPOI","1","PP34","Circular","D:1.00","3.65","1.35","2.3","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM37","IM31","Imbornal / estructura auxiliar","U044879794E3","1","IM37","Rectangular","L:0.70 W:0.30","3.65","2.4","1.25","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM38","IM32","Imbornal / estructura auxiliar","U044879794E3","1","IM38","Rectangular","L:0.70 W:0.30","3.65","3.17","0.48","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM83","IM33","Imbornal / estructura auxiliar","U044879794E3","1","IM83","Rectangular","L:0.70 W:0.30","3.64","2.64","1","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP30","PP30","Pozo pluvial","UAP0.5-TIPOII","1","PP30","Circular","D:1.00","3.64","1.66","1.98","0","Criterio hidráulico acordado: nodo singular => TIPO II."
"PLUVIALES","IM72","IM34","Imbornal / estructura auxiliar","U044879794E3","1","IM72","Rectangular","L:0.70 W:0.30","3.64","2.57","1.07","1.07","Criterio actual: no PP = imbornal"
"PLUVIALES","IM82","IM35","Imbornal / estructura auxiliar","U044879794E3","1","IM82","Rectangular","L:0.70 W:0.30","3.64","2.64","1","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM40","IM36","Imbornal / estructura auxiliar","U044879794E3","1","IM40","Rectangular","L:0.70 W:0.30","3.63","3.17","0.46","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM42","IM37","Imbornal / estructura auxiliar","U044879794E3","1","IM42","Rectangular","L:0.70 W:0.30","3.62","3.16","0.46","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP35","PP35","Pozo pluvial","UAP0.2-TIPOI","1","PP35","Circular","D:1.00","3.62","1.27","2.35","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM53","IM38","Imbornal / estructura auxiliar","U044879794E3","1","IM53","Rectangular","L:0.70 W:0.30","3.62","1.68","1.94","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM54","IM39","Imbornal / estructura auxiliar","U044879794E3","1","IM54","Rectangular","L:0.70 W:0.30","3.62","3.1","0.52","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM44","IM40","Imbornal / estructura auxiliar","U044879794E3","1","IM44","Rectangular","L:0.70 W:0.30","3.61","3.15","0.46","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM46","IM41","Imbornal / estructura auxiliar","U044879794E3","1","IM46","Rectangular","L:0.70 W:0.30","3.61","3.14","0.47","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP11","PP11","Pozo pluvial","UAP0.2-TIPOI","1","PP11","Circular","D:1.00","3.6","1.6","2","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM48","IM42","Imbornal / estructura auxiliar","U044879794E3","1","IM48","Rectangular","L:0.70 W:0.30","3.6","3.14","0.46","0","Criterio actual: no PP = imbornal"
