Dibujo:,ABASTECIMIENTO.dwg
Ruta de dibujo:,Z:\PROYECTO 535\535.2\535.2.1 Proyecto de Urbanización\PLANOS\04_CIVIL3D\ABASTECIMIENTO.dwg
Fecha del informe:,29/04/2026
Notificado por:,USUARIO
Versión del informe:,1.0 (B)

ABASTECIMIENTO
Nombre de la red de tuberías a presión,Descripción,Lista de piezas,Tuberías,Accesorios,Elementos hidromecánicos,Tramos de tubería,Superficie de referencia por defecto,Alineación de referencia por defecto,Elevación mínima,Elevación máxima,Estilo de etiqueta de tuberías en planta,Estilo de etiqueta de accesorio en planta,Estilo de etiqueta de elemento hidromecánico en planta,Capa de tuberías en planta,Capa de accesorio en planta,Capa de elemento hidromecánico en planta,Infracciones
ABASTECIMIENTO,<Ninguno>,ESPAÑA,124,112,4,10,PROPUESTA,<Ninguno>,-1.163,8.827,<Ninguno>,<Ninguno>,<Ninguno>,C-WATR-PIPE,C-WATR-FITT,C-WATR-APPT,0

ABASTECIMIENTO
Nombre de accesorio,Descripción,Estilo de accesorio,Tipo de pieza,Diámetro nominal,Alineación de referencia,Superficie de referencia,P.K.,Desfase,Abscisa,Ordenada,Elevación,Ángulo horizontal,Ángulo vertical,Conexiones,Material,Descripción de pieza,Infracciones,Conjuntos de propiedades
Fitting - (102),Bend 11.25_ DN 200_  [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367896.3418,4057609.0494,3.185,11° 14' 36.791",0° 22' 52.428",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (103),Bend 11.25_ DN 200_  [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367911.1124,4057626.8859,3.188,11° 14' 59.945",0° 0' 3.173",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (104),Bend 11.25_ DN 200_  [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367947.2362,4057678.3370,3.196,11° 11' 7.567",1° 12' 39.707",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (105),Bend 11.25_ DN 200_  [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367951.9310,4057682.8189,3.059,11° 12' 27.411",0° 59' 7.557",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (106),Bend 11.25_ DN 200_  [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367963.4685,4057689.7652,3.036,11° 14' 43.286",0° 19' 24.224",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (107),Bend 11.25_ DN 200_  [...],PROPUESTO,Codo,200,<Ninguno>,PROPUESTA,,,367978.0674,4057695.0208,3.097,11° 15' 0.260",0° 0' 9.352",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (108),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368068.8143,4057820.3259,4.003,0° 0' 0.000",11° 14' 59.945",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (109),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368153.5649,4057941.0501,4.381,4° 40' 34.295",10° 14' 5.976",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (110),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368165.0670,4057957.6237,4.672,4° 57' 9.484",10° 6' 15.716",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (111),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368183.6797,4057984.0047,4.626,5° 34' 12.520",9° 46' 41.126",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (112),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368200.0225,4058007.3242,4.747,1° 46' 17.984",11° 6' 36.183",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (113),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368219.7508,4058035.4322,4.771,11° 14' 12.586",0° 32' 42.356",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (115),Bend 11.25_ DN 150_  [...],PROPUESTO,Codo,150,<Ninguno>,PROPUESTA,,,368116.2803,4058006.3815,5.262,0° 46' 54.697",11° 13' 22.335",2,ByLayer,Bend 11.25_ DN 150_ Socket,0,0
Fitting - (116),Bend 11.25_ DN 150_  [...],PROPUESTO,Codo,150,<Ninguno>,PROPUESTA,,,368066.9038,4058040.9050,5.531,11° 15' 0.356",0° 0' 2.032",2,ByLayer,Bend 11.25_ DN 150_ Socket,0,0
Fitting - (117),Bend 11.25_ DN 150_  [...],PROPUESTO,Codo,150,<Ninguno>,PROPUESTA,,,368062.0129,4058043.1977,5.552,0° 0' 0.000",11° 14' 59.945",2,ByLayer,Bend 11.25_ DN 150_ Socket,0,0
Fitting - (118),Bend 11.25_ DN 150_  [...],PROPUESTO,Codo,150,<Ninguno>,PROPUESTA,,,368055.9190,4058043.7432,5.620,0° 23' 39.304",11° 14' 35.279",2,ByLayer,Bend 11.25_ DN 150_ Socket,0,0
Fitting - (119),Bend 11.25_ DN 150_  [...],PROPUESTO,Codo,150,<Ninguno>,PROPUESTA,,,368052.3734,4058043.3841,5.060,3° 24' 33.125",10° 43' 35.256",2,ByLayer,Bend 11.25_ DN 150_ Socket,0,0
