;;Contenido de ligante;UNE-EN 12697-1;4;1000;tn;4255.88;tn;4;46.5;186;PAV007 (LM-1.03)
;;Granulometría de los áridos extraídos;UNE-EN 12697-2;4;1000;tn;4255.88;tn;4;46.5;186;PAV007 (LM-1.03)
;;4.2.- Control de la puesta en obra;;;;;;;;;;
;;Control de temperatura;;1;Ensayo;camión;0;camión;9;4.5;40.5;PAV007 (LM-1.03)
;;Densidad aparente y contenido de huecos;UNE-EN 12697-6,8;3;3500;m²;17732.83;m²;3;55;165;PAV007 (LM-1.03)
;;4.3.- Control de la unidad terminada;;;;;;;;;;
;;Densidad aparente, contenido de huecos y espesor;UNE-EN 12697-6,8;3;3500;m²;17732.83;m²;3;71;213;PAV007 (LM-1.03)
;;4.- MEZCLAS BITUMINOSAS EN CALIENTE AC-16;;;;;;;;;;
;;4.1.- Control de los materiales constituyentes;;;;;;;;;;
;;4.1.1.- En origen o acopio;;;;;;;;;;
;;Análisis granulométrico por tamizado;UNE-EN 933-1;1;1000;tn;3032.49;tn;1;46.5;46.5;PAV006 (LM-1.03)
;;Equivalente de arena;UNE-EN 933-8;1;1000;tn;3032.49;tn;1;27;27;PAV006 (LM-1.03)
;;Azul de metileno;UNE-EN 933-9;1;1000;tn;3032.49;tn;1;86;86;PAV006 (LM-1.03)
;;Índice de lajas del árido grueso;UNE-EN 933-3;1;Tipo/Procedencia;Tipo/Procedencia;1;;1;35;35;PAV006 (LM-1.03)
;;Porcentaje caras de fractura árido grueso;UNE-EN 933-5;1;Tipo/Procedencia;Tipo/Procedencia;1;;1;27;27;PAV006 (LM-1.03)
;;Contenido en finos del árido grueso;;1;Tipo/Procedencia;Tipo/Procedencia;1;;1;51;51;PAV006 (LM-1.03)
;;Ensayo de Los Ángeles árido grueso;UNE-EN 1097-2;1;Tipo/Procedencia;Tipo/Procedencia;1;;1;49;49;PAV006 (LM-1.03)
;;Coeficiente de pulimento acelerado (rodadura);UNE-EN 1097-8;1;Tipo/Procedencia;Tipo/Procedencia;1;;1;530;530;PAV006 (LM-1.03)
;;Densidad relativa y absorción árido grueso;UNE-EN 1097-6;1;Tipo/Procedencia;Tipo/Procedencia;1;;1;53;53;PAV006 (LM-1.03)
;;Densidad relativa y absorción árido fino;UNE-EN 1097-6;1;Tipo/Procedencia;Tipo/Procedencia;1;;1;53;53;PAV006 (LM-1.03)
;;4.1.2.- Antes de entrada en tambor secador;;;;;;;;;;
;;Análisis granulométrico del árido combinado;UNE-EN 933-1;2;Muestras;día;0;día;2;46.5;93;PAV006 (LM-1.03)
;;Equivalente de arena;UNE-EN 933-8;2;Muestras;día;0;día;2;27;54;PAV006 (LM-1.03)
;;Azul de metileno;UNE-EN 933-9;2;Muestras;día;0;día;2;86;172;PAV006 (LM-1.03)
;;4.1.3.- A la salida del tambor secador;;;;;;;;;;
;;Análisis granulométrico del árido combinado;UNE-EN 933-1;1;Muestra;día;0;día;1;46.5;46.5;PAV006 (LM-1.03)
;;4.1.4.- A la salida del mezclador;;;;;;;;;;
;;Control de temperatura;;1;Ensayo;camión;0;camión;9;4.5;40.5;PAV006 (LM-1.03)
;;Contenido de ligante;UNE-EN 12697-1;4;1000;tn;3032.49;tn;4;46.5;186;PAV006 (LM-1.03)
;;Granulometría de los áridos extraídos;UNE-EN 12697-2;4;1000;tn;3032.49;tn;4;46.5;186;PAV006 (LM-1.03)
;;4.2.- Control de la puesta en obra;;;;;;;;;;
;;Control de temperatura;;1;Ensayo;camión;0;camión;9;4.5;40.5;PAV006 (LM-1.03)
;;Densidad aparente y contenido de huecos;UNE-EN 12697-6,8;3;3500;m²;25270.72;m²;3;55;165;PAV006 (LM-1.03)
;;4.3.- Control de la unidad terminada;;;;;;;;;;
;;Densidad aparente, contenido de huecos y espesor;UNE-EN 12697-6,8;3;3500;m²;25270.72;m²;3;71;213;PAV006 (LM-1.03)
;;;;;;;;TOTAL CAPÍTULO 4;TOTAL CAPÍTULO 4;TOTAL CAPÍTULO 4;3778;
;;ENSAYO;NORMA O PROCEDIMIENTO;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;
;;ENSAYO;NORMA O PROCEDIMIENTO;ENSAYOS;ENSAYOS;ENSAYOS;PROYECTO;PROYECTO;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
;;ENSAYO;NORMA O PROCEDIMIENTO;Nº;TAMAÑO LOTE;UD;MEDICIÓN;UD;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
;;CAPÍTULO 5: BORDILLOS;CAPÍTULO 5: BORDILLOS;CAPÍTULO 5: BORDILLOS;CAPÍTULO 5: BORDILLOS;CAPÍTULO 5: BORDILLOS;CAPÍTULO 5: BORDILLOS;CAPÍTULO 5: BORDILLOS;CAPÍTULO 5: BORDILLOS;CAPÍTULO 5: BORDILLOS;CAPÍTULO 5: BORDILLOS;
;;5.- BORDILLOS PREFABRICADOS DE HORMIGÓN;;;;;;;;;;
;;Características geométricas;UNE-127 025 y 127 26;1;Tipo;;3;;3;61;183;B02.C01.07 / B02.C01.08 / B02.C01.09 (LM-1.03)
;;Resistencia a la flexión;UNE-127 028;1;Tipo;;3;;3;51;153;B02.C01.07 / B02.C01.08 / B02.C01.09 (LM-1.03)
;;Resistencia al desgaste;UNE-127 005;1;Tipo;;3;;3;51;153;B02.C01.07 / B02.C01.08 / B02.C01.09 (LM-1.03)
;;Resistencia a la compresión;UNE-83302-83304;1;Tipo;;3;;3;51;153;B02.C01.07 / B02.C01.08 / B02.C01.09 (LM-1.03)
;;Coeficiente de absorción de agua;UNE-127.002;1;Tipo;;3;;3;77.5;232.5;B02.C01.07 / B02.C01.08 / B02.C01.09 (LM-1.03)
;;;;;;;;TOTAL CAPÍTULO 5;TOTAL CAPÍTULO 5;TOTAL CAPÍTULO 5;874.5;
;;ENSAYO;NORMA O PROCEDIMIENTO;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;
;;ENSAYO;NORMA O PROCEDIMIENTO;ENSAYOS;ENSAYOS;ENSAYOS;PROYECTO;PROYECTO;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
;;ENSAYO;NORMA O PROCEDIMIENTO;Nº;TAMAÑO LOTE;UD;MEDICIÓN;UD;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
;;CAPÍTULO 6: HORMIGONES Y ACEROS;CAPÍTULO 6: HORMIGONES Y ACEROS;CAPÍTULO 6: HORMIGONES Y ACEROS;CAPÍTULO 6: HORMIGONES Y ACEROS;CAPÍTULO 6: HORMIGONES Y ACEROS;CAPÍTULO 6: HORMIGONES Y ACEROS;CAPÍTULO 6: HORMIGONES Y ACEROS;CAPÍTULO 6: HORMIGONES Y ACEROS;CAPÍTULO 6: HORMIGONES Y ACEROS;CAPÍTULO 6: HORMIGONES Y ACEROS;
;;6.- HORMIGÓN ARMADO HA-25, HA-30.;;;;;;;;;;
;;6.1.- Ensayos característicos hormigón en obra;;;;;;;;;;
;;Resistencia a compresión simple;UNE-83300, 1, 3 y 4;2;100;m³;0;m³;4;51;204;P01HA010 (LM-1.04/05)
;;Cono de Abrams;UNE-83313;2;100;m³;0;m³;4;15;60;P01HA010 (LM-1.04/05)
;;6.2.- ACEROS BARRAS CORRUGADAS;;;;;;;;;;
;;Ensayo tracción;UNE-36068;2;40;tn;0;tn;2;61;122;P03ACB010 (LM-1.04/05)
;;Características geométricas;UNE-36068;2;40;tn;0;tn;2;61;122;P03ACB010 (LM-1.04/05)
;;Doblado desdoblado;UNE-36068;2;40;tn;0;tn;2;40;80;P03ACB010 (LM-1.04/05)
;;;;;;;;TOTAL CAPÍTULO 6;TOTAL CAPÍTULO 6;TOTAL CAPÍTULO 6;588;
;;ENSAYO;NORMA O PROCEDIMIENTO;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;
;;ENSAYO;NORMA O PROCEDIMIENTO;ENSAYOS;ENSAYOS;ENSAYOS;PROYECTO;PROYECTO;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
;;ENSAYO;NORMA O PROCEDIMIENTO;Nº;TAMAÑO LOTE;UD;MEDICIÓN;UD;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
;;CAPÍTULO 7: SEÑALIZACIÓN Y BALIZAMIENTO;CAPÍTULO 7: SEÑALIZACIÓN Y BALIZAMIENTO;CAPÍTULO 7: SEÑALIZACIÓN Y BALIZAMIENTO;CAPÍTULO 7: SEÑALIZACIÓN Y BALIZAMIENTO;CAPÍTULO 7: SEÑALIZACIÓN Y BALIZAMIENTO;CAPÍTULO 7: SEÑALIZACIÓN Y BALIZAMIENTO;CAPÍTULO 7: SEÑALIZACIÓN Y BALIZAMIENTO;CAPÍTULO 7: SEÑALIZACIÓN Y BALIZAMIENTO;CAPÍTULO 7: SEÑALIZACIÓN Y BALIZAMIENTO;CAPÍTULO 7: SEÑALIZACIÓN Y BALIZAMIENTO;
;;7.1.- MARCAS VIALES EN SEÑALIZACIÓN HORIZONTAL;;;;;;;;;;
;;7.1.1.- Características de la pintura líquida;;;;;;;;;;
;;Consistencia Krebs;MELC-12.74;1;Tipo/Procedencia;;1;;1;32;32;cnP13C43 (LM-1.15)
;;Tiempo de secado;MELC-12.71;1;Tipo/Procedencia;;1;;1;49;49;cnP13C43 (LM-1.15)
;;Materia fija;MELC-12.05;1;Tipo/Procedencia;;1;;1;39;39;cnP13C43 (LM-1.15)
;;Peso específico;MELC-12.72;1;Tipo/Procedencia;;1;;1;50;50;cnP13C43 (LM-1.15)
;;Estabilidad envase lleno;MELC-12.77;1;Tipo/Procedencia;;1;;1;42.5;42.5;cnP13C43 (LM-1.15)
;;Estabillidad a la dilución;MELC-12.78;1;Tipo/Procedencia;;1;;1;32;32;cnP13C43 (LM-1.15)
;;7.1.2.- Características de las microesferas;;;;;;;;;;
;;% microesferas defectuosas;MELC-12.30;1;Tipo/Procedencia;;1;;1;62;62;cnP13C45 (LM-1.15)
;;Granulometría microesferas;MELC-12.32;1;Tipo/Procedencia;;1;;1;39;39;cnP13C45 (LM-1.15)
;;Índice de refracción;MELC-12.31;1;Tipo/Procedencia;;1;;1;31.5;31.5;cnP13C45 (LM-1.15)
;;7.1.3.- Características de la pintura aplicada;;;;;;;;;;
;;Coeficiente de retrorreflexión;UNE-EN 1436;2;500;m;0;m;1;49;49;U18HMC010BL / U18HMD010BL (LM-1.15)
;;7.2.- SEÑALES DE CIRCULACIÓN Y CARTELES DE ACERO GALVANIZADO;;;;;;;;;;
;;7.2.1.- Características de las placas;;;;;;;;;;
;;Espesor de la chapa de acero;UNE-135310;1;Tipo/Procedencia;;1;;1;20;20;U18VAC060A / U18VACU060 / U18VAT090 (LM-1.15)
;;Espesor de galvanizado;UNE-135310;1;Tipo/Procedencia;;1;;1;42;42;U18VAC060A / U18VACU060 / U18VAT090 (LM-1.15)
;;Coeficiente de retrorreflexión;UNE-135332;1;Tipo/Procedencia;;1;;1;49;49;U18VAC060A / U18VACU060 / U18VAT090 (LM-1.15)
;;7.2.2.- Características de los postes de sustentación;;;;;;;;;;
;;Espesor de la chapa de acero;UNE-135310;1;Tipo/Procedencia;;1;;1;20;20;U18VAC060A / U18VACU060 / U18VAT090 (LM-1.15)
;;Espesor de galvanizado;UNE-135310;1;Tipo/Procedencia;;1;;1;42;42;U18VAC060A / U18VACU060 / U18VAT090 (LM-1.15)
;;;;;;;;TOTAL CAPÍTULO 7;TOTAL CAPÍTULO 7;TOTAL CAPÍTULO 7;599;
;;Suplemento de control de redes a presiÃ³n;Criterio ICCP;1;lote;;1;lote;1;4875;4875;MCG-1.06 / MCG-1.11
;;;;;;;;TOTAL CONTROL CALIDAD;TOTAL CONTROL CALIDAD;TOTAL CONTROL CALIDAD;17958;
